particle_id,x,y,z
2,14.801252,72.579208,98.378868
3,91.167961,43.324802,25.300920

1,0.016938,65.832008,30.160439
2,14.797065,72.580383,98.382538
3,91.169983,43.321693,25.299019

1,0.019051,65.833946,30.158627
2,14.792855,72.581573,98.386284
3,91.172081,43.318562,25.297085

1,0.021109,65.835892,30.156773
2,14.788623,72.582787,98.390106
3,91.174255,43.315407,25.295116

1,0.023112,65.837845,30.154875
2,14.784368,72.584015,98.394005
3,91.176506,43.312229,25.293116

1,0.025061,65.839798,30.152935
2,14.780090,72.585258,98.397980
3,91.178833,43.309029,25.291080

1,0.026954,65.841759,30.150951
2,14.775790,72.586517,98.402031
3,91.181236,43.305805,25.289013

1,0.028792,65.843727,30.148926
2,14.771467,72.587799,98.406158
3,91.183723,43.302555,25.286911

1,0.030576,65.845703,30.146856
2,14.767122,72.589096,98.410362
3,91.186287,43.299282,25.284777

1,0.032305,65.847687,30.144745
2,14.762754,72.590408,98.414642
3,91.188927,43.295986,25.282608

1,0.033979,65.849678,30.142590
2,14.758364,72.591736,98.418999
3,91.191643,43.292667,25.280407

1,0.035598,65.851677,30.140392
2,14.753950,72.593079,98.423431
3,91.194435,43.289326,25.278172

1,0.037162,65.853683,30.138153
2,14.749515,72.594444,98.427940
3,91.197304,43.285961,25.275904

1,0.038671,65.855690,30.135870
2,14.745056,72.595825,98.432526
3,91.200256,43.282570,25.273602

1,0.040126,65.857704,30.133545
2,14.740575,72.597221,98.437187
3,91.203285,43.279156,25.271267

1,0.041525,65.859726,30.131176
2,14.736071,72.598633,98.441925
3,91.206390,43.275719,25.268898

1,0.042870,65.861755,30.128765
2,14.731544,72.600060,98.446739
3,91.209572,43.272259,25.266495

1,0.044160,65.863792,30.126310
2,14.726995,72.601509,98.451630
3,91.212830,43.268776,25.264059

1,0.045395,65.865837,30.123814
2,14.722424,72.602974,98.456596
3,91.216164,43.265266,25.261589

1,0.046575,65.867889,30.121273
