particle_id,x,y,z
167,24.681000,42.401001,12.754000
168,211.261993,171.606995,13.854000
169,34.271000,175.792007,223.716003
170,9.573000,21.364000,219.238998
171,140.606995,275.979004,196.987000
172,246.777008,147.751007,181.570999
173,256.243011,16.341999,52.896000
174,45.938999,19.166000,184.541000
175,53.441002,37.376999,43.382000
176,17.226000,54.116997,281.256012
177,145.001999,54.906998,103.723999
178,224.470001,171.304993,186.125000
179,271.264008,119.102997,13.025000
180,202.102997,40.737999,217.507996
181,220.261002,82.266998,146.401001
182,172.139999,121.362000,124.345001
183,84.125999,259.756012,54.032997
184,266.011993,212.985001,160.878998
185,17.011000,102.497002,237.059006
186,240.380005,50.473999,110.608002
187,77.185997,284.536987,20.563999
188,6.004999,136.544006,32.828999
189,240.244003,82.824997,255.600006
190,135.059006,117.933998,75.102997
191,257.131012,1.084000,183.641998
192,184.279999,237.705994,66.093002
193,203.143997,207.229996,26.394001
194,19.768999,206.509003,228.481003
195,115.023003,201.671997,144.106995
196,167.565002,174.783005,241.182007
197,207.389008,62.888000,6.693000
198,216.348999,272.898010,130.022003
199,230.718002,54.779999,157.328995
200,26.555000,111.550003,115.625999
201,236.207001,276.112000,88.953003
202,75.084999,9.601999,55.958000
203,270.502014,176.535004,104.739998
204,203.503006,139.531006,127.449997
205,185.457001,39.863998,41.247002
206,48.710999,166.001007,221.567993
207,23.462002,69.085999,201.709000
208,285.358002,222.078003,0.942000
209,224.171005,144.423996,180.485001
210,225.612000,253.010010,34.664001
211,240.785004,194.957001,231.509995
212,39.667999,23.648998,181.141998
213,240.436996,170.337006,106.567001
214,30.265999,172.792999,40.750000
215,77.022003,113.821999,201.630005
216,78.491997,51.241001,157.259003
217,12.799000,126.199997,77.916000
218,156.371994,10.084999,264.748993
219,84.273003,39.192001,163.906998
220,147.863007,156.347000,222.169006
221,196.287003,104.464996,159.841995
222,154.533005,83.787003,161.714005
223,70.142998,229.307999,279.123993
224,158.919998,156.878006,168.957993
225,22.692001,130.873993,237.320007
226,284.075012,204.817993,169.972000
227,257.398010,283.010986,185.179993
228,63.570000,7.389000,71.430000
229,103.433998,58.511002,100.098000
230,112.181999,130.839996,150.464005
231,154.932007,6.896000,217.117004
232,263.373993,245.895996,3.228000
233,89.887001,277.811005,70.815002
234,4.150000,124.035995,73.400002
235,142.378998,17.757999,127.427994
236,225.944000,190.546005,285.023010
237,204.662994,1.327000,258.440002
238,201.177994,200.253006,119.554993
239,18.975000,105.356003,150.371002
240,255.796997,199.421997,208.789001
241,4.022000,114.583000,9.120000
242,172.990997,74.600998,64.821999
243,92.893997,214.645004,10.681000
244,42.743999,182.962997,2.733000
245,132.518005,269.191010,109.183998
246,196.787994,232.151993,178.764999
247,166.774994,127.001999,258.635010
248,211.072998,15.443001,8.264000
249,52.293999,205.886993,174.197998
250,3.322000,192.052994,282.614990
251,13.351000,58.223000,146.173996
252,195.352005,21.197001,248.859985
253,183.511002,39.112999,204.095001
254,175.953995,275.531006,254.519012
255,36.446999,217.300003,181.457993
256,229.901993,139.832993,265.096985
257,0.470000,66.510002,48.318001
258,33.397999,90.102997,1.753000
259,120.479996,181.882004,170.311005
260,287.072998,3.578000,60.546997
261,97.963997,246.652008,199.067001
262,14.940001,88.775002,127.753998
263,100.771004,166.110992,253.304993
264,211.919006,61.855003,17.139999
265,200.625000,271.906006,191.847000
266,86.516998,157.580994,75.679001
267,221.307007,191.615005,68.134003
268,88.244003,126.464996,234.667999
269,160.139999,98.987000,178.768005
270,250.753998,241.707001,289.141998
271,193.901001,36.683998,154.384003
272,115.174004,47.480000,231.050995
273,93.294998,73.822998,177.860992
274,152.292007,8.072000,54.057999
275,287.308990,104.624001,140.606995
276,139.401993,87.419998,169.554993
277,176.681000,48.409000,76.025002
278,249.641998,170.916000,59.050003
279,159.214005,1.947000,227.955002
280,176.761993,204.705002,179.104996
