cell_idx,particle_id,x,y,z
100,215,88.491997,61.241001,167.259003
100,218,94.273003,49.192001,173.906998
100,250,23.351000,68.223000,156.173996
100,261,24.940001,98.775002,137.753998
100,314,5.235000,33.631001,130.947998
100,327,68.766998,96.364998,187.350006
100,388,55.599998,24.646999,131.559998
100,403,27.233999,96.123001,148.330002
100,407,59.792999,20.903999,180.442993
100,436,53.066002,85.448997,187.429001
100,440,0.622000,66.846001,141.061996
100,448,91.735001,27.306000,115.275002
100,499,78.374001,80.936996,133.981003
100,532,58.429001,74.038002,157.384003
100,547,64.306000,37.580002,114.639999
100,575,74.891998,5.933000,195.035004
100,637,84.572998,34.770000,110.469002
100,644,87.408997,93.012001,113.148003
100,660,93.156998,55.653000,186.360001
100,666,23.917999,30.655001,194.173996
100,694,25.974001,18.576000,151.860001
100,716,9.174000,36.396999,141.134003
100,736,5.818000,15.191000,112.123001
200,844,35.028000,71.009003,228.522995
200,847,16.476000,69.792000,212.050003
200,882,82.647003,55.590000,269.510986
200,894,16.694000,89.883003,221.289001
200,934,95.889000,48.893002,286.502991
200,943,57.606998,96.987999,286.338989
200,945,35.430000,17.804001,256.812012
200,951,79.007004,1.269000,249.673004
200,1010,38.488998,13.175000,202.998993
200,1023,64.223000,12.469000,216.072998
200,5,6.094000,84.939003,285.779999
200,19,19.239000,33.116001,272.954010
200,20,20.830999,62.221001,210.100006
200,32,99.592003,45.984001,272.343994
200,75,13.044000,93.107002,293.963013
200,93,10.035000,32.518002,222.246002
200,157,81.748001,7.032000,217.223999
200,169,9.573000,31.364000,229.238998
200,175,27.226000,64.116997,291.256012
200,206,33.462002,79.085999,211.709000
200,296,80.573997,94.788002,226.755005
200,301,49.308998,82.897003,270.710999
200,311,70.809998,22.438000,246.212997
200,375,92.741997,64.862999,233.628006
200,412,38.092999,1.600000,234.919998
200,413,51.165001,15.284000,207.492004
200,459,94.095001,27.301001,278.127014
200,512,37.206001,91.038002,209.576996
200,531,90.424004,51.959000,216.811005
200,552,95.873001,51.651001,240.718994
200,556,66.901001,29.132000,276.071991
200,558,55.832001,28.653000,287.299011
200,579,10.054000,4.423000,271.220001
200,651,99.140999,31.680000,292.798004
200,659,80.477997,33.120998,257.752014
200,678,11.063000,72.762001,220.511002
200,682,41.627998,23.947001,220.283997
